game_id,season,week,start_time,venue,home_team,away_team,home_points,away_points,city,state,latitude,longitude,temperature,precipitation,wind_speed
401525815,2023,1,2023-09-02T00:00:00.000Z,Memorial Stadium,Kansas,Missouri State,48,17,Terre Haute,IN,39.4746858,-87.3669599,23.7,0.0,7.2
401525815,2023,1,2023-09-02T00:00:00.000Z,Memorial Stadium,Kansas,Missouri State,48,17,Lawrence,KS,38.9629418,-95.2463686,31.1,0.0,9.2
401525815,2023,1,2023-09-02T00:00:00.000Z,Memorial Stadium,Kansas,Missouri State,48,17,Columbia,MO,38.9358491,-92.3332009,24.9,0.0,5.6
401553008,2023,1,2023-09-02T00:00:00.000Z,Shelton Stadium,Hardin-Simmons,Albright,47,3,Abilene,TX,32.44645,-99.7475905,36.5,0.0,15.6
401523988,2023,1,2023-09-02T03:00:00.000Z,Clarence T.C. Ching Athletics Complex,Hawai'i,Stanford,24,37,Honolulu,HI,21.294294,-157.819338,26.0,0.0,22.5
401544077,2023,1,2023-09-02T04:00:00.000Z,,LYONCOLL,Grinnell,18,12,,,,,,,
401539993,2023,1,2023-09-02T04:00:00.000Z,O'Kelly-Riddick Stadium,North Carolina Central,Winston-Salem,47,21,Durham,NC,35.9738646,-78.896969,17.1,0.0,7.3
401540078,2023,1,2023-09-02T04:00:00.000Z,Goodman Stadium,Lehigh,Villanova,10,38,Bethlehem,PA,40.5890837,-75.3553874,16.4,0.0,12.3
401540219,2023,1,2023-09-02T04:00:00.000Z,Bobcat Stadium,Montana State,Utah Tech,63,20,Bozeman,MT,45.659048,-111.049547,19.1,0.0,10.2
401540012,2023,1,2023-09-02T04:00:00.000Z,Arthur J. Rooney Athletic Field,Duquesne,Edinboro University,49,7,Pittsburgh,PA,40.4355808,-79.9900263,17.7,0.0,7.6
401540166,2023,1,2023-09-02T04:00:00.000Z,BBVA Compass Stadium,Texas Southern,Prairie View A&M,34,37,Houston,TX,29.7521988,-95.3524146,29.9,0.0,2.6
401540225,2023,1,2023-09-02T04:00:00.000Z,Alex G. Spanos Stadium,Cal Poly,San Diego,27,10,San Luis Obispo,CA,35.2984123,-120.6650005,15.7,0.0,1.5
401540562,2023,1,2023-09-02T04:00:00.000Z,O'Shaughnessy Stadium,St. Thomas (MN),Black Hills State,36,26,Saint Paul,MN,44.9497487,-93.0931028,24.9,0.0,15.0
401546995,2023,1,2023-09-02T04:00:00.000Z,Jack Britt Memorial Stadium,Lake Erie,Franklin Pierce,10,26,Painesville,OH,41.7244885,-81.245657,17.1,0.0,12.6
401545706,2023,1,2023-09-02T04:00:00.000Z,Callaghan Stadium,Concord University,Emory & Henry College,10,56,Princeton,WV,37.366328,-81.1026607,15.8,0.0,13.1
401550454,2023,1,2023-09-02T04:00:00.000Z,Blue Jay Stadium,Westminster College (MO),Rhodes College,0,47,Fulton,MO,38.8467082,-91.9479586,19.7,0.0,11.6
401540285,2023,1,2023-09-02T04:00:00.000Z,Manning Field at John L. Guidry Stadium,Nicholls,Sacramento State,24,38,Thibodaux,LA,29.7867254,-90.80455,25.5,0.0,5.4
401541905,2023,1,2023-09-02T04:00:00.000Z,Ratliff Stadium,UT Permian Basin,Texas College,96,0,Odessa,TX,31.8457149,-102.367687,29.1,0.0,18.6
401544096,2023,1,2023-09-02T04:00:00.000Z,Don Drumm Stadium,Marietta,St John Fisher University,31,7,Marietta,OH,39.4167742,-81.4548392,19.2,0.0,7.9
